From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-01-01 08:00:00,,135.5,5.33,16.43,7.03,3.45,4.65,0.38,46.15,16.48,63.75,3.73,180.11274390508322,,728.0,20.05,
2021-01-01 09:00:00,,120.75,4.48,12.27,4.15,3.83,4.63,0.32,59.06,16.35,60.5,3.85,180.11274390508322,,728.0,22.55,
2021-01-01 10:00:00,69.0,117.25,6.22,13.25,6.12,1.88,6.5,0.29,64.91,21.5,53.75,4.72,180.11274390508322,,728.5,23.8,
2021-01-01 11:00:00,69.0,116.5,3.57,14.8,4.75,2.45,9.65,0.33,92.78,27.45,49.0,5.3,180.11274390508322,,728.0,25.68,
2021-01-01 12:00:00,68.0,110.25,4.55,13.28,4.75,2.52,8.63,0.36,96.93,28.27,46.0,4.35,180.11274390508322,,727.0,27.15,
2021-01-01 13:00:00,66.0,107.25,4.5,15.15,5.75,2.52,6.18,0.35,100.2,29.48,44.5,4.88,180.11274390508322,,726.5,28.4,
2021-01-01 14:00:00,67.75,113.25,4.32,13.28,4.6,3.05,6.62,0.34,103.27,27.38,42.5,4.3,180.11274390508322,,726.0,28.98,
2021-01-01 15:00:00,67.5,109.25,3.98,15.12,5.25,2.02,5.63,0.32,107.74,23.27,42.0,4.4,180.11274390508322,,725.5,29.48,
2021-01-01 16:00:00,68.25,103.5,5.28,16.1,6.9,1.73,5.2,0.33,108.85,25.75,42.25,4.98,180.11274390508322,,725.0,29.25,
2021-01-02 08:00:00,78.33,122.5,6.17,27.15,13.53,3.65,3.0,0.38,73.49,19.88,63.5,2.25,180.11274390508322,,728.75,17.8,
2021-01-02 09:00:00,79.33,121.0,5.65,15.25,6.7,2.67,2.0,0.32,95.96,16.77,54.0,4.35,180.11274390508322,,729.0,21.4,
