From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-01-01 08:00:00,23.01,81.58,17.955302120384665,18.94,37.25,24.15,7.01,0.77,27.5,18.88,91.77,0.67,180.11274390508322,278.89,811.93,,
2021-01-01 09:00:00,24.38,61.66,17.955302120384665,17.71,29.14,20.1,6.79,0.52,47.04,20.42,80.76,0.7,180.11274390508322,348.76,815.48,,
2021-01-01 10:00:00,22.5,74.66,17.955302120384665,18.85,28.34,18.61,6.75,0.48,56.2,21.21,73.47,0.77,180.11274390508322,324.17,818.08,,
2021-01-01 11:00:00,22.9,81.86,17.955302120384665,14.65,21.99,14.82,6.91,0.31,69.03,22.52,64.96,0.76,180.11274390508322,348.18,822.17,,
2021-01-01 12:00:00,22.0,71.34,17.955302120384665,16.05,25.48,16.49,6.76,0.29,67.54,23.86,58.31,0.78,180.11274390508322,335.35,825.0,,
2021-01-01 13:00:00,23.37,69.28,17.955302120384665,21.31,27.13,18.03,6.92,0.32,81.81,25.09,50.58,0.77,180.11274390508322,351.78,825.25,,
2021-01-01 14:00:00,23.68,55.87,17.955302120384665,19.92,24.32,16.8,6.68,0.36,98.13,25.61,47.12,0.77,180.11274390508322,366.91,828.38,,
2021-01-01 15:00:00,22.15,64.78,17.955302120384665,18.81,25.09,16.66,6.87,0.28,91.0,25.96,46.34,0.73,180.11274390508322,381.55,829.9,,
2021-01-01 16:00:00,21.8,70.43,17.955302120384665,18.07,24.58,15.64,6.95,0.31,78.78,25.59,47.74,0.71,180.11274390508322,379.96,831.0,,
2021-01-02 08:00:00,26.25,74.31,17.955302120384665,26.44,39.05,25.87,6.78,0.56,44.26,18.68,85.79,0.69,180.11274390508322,309.26,812.53,,
2021-01-02 09:00:00,28.55,84.16,17.955302120384665,21.63,30.91,20.79,6.82,0.49,55.49,20.34,77.74,0.73,180.11274390508322,313.02,817.25,,
2021-01-02 10:00:00,30.37,92.41,17.955302120384665,27.34,37.91,25.34,6.8,0.54,64.96,21.6,71.7,0.83,180.11274390508322,313.71,821.1,,
2021-01-02 11:00:00,31.8,95.88,17.955302120384665,19.75,25.34,18.7,7.06,0.32,81.54,23.13,65.95,0.8,180.11274390508322,363.12,823.37,,
2021-01-02 12:00:00,34.06,94.18,17.955302120384665,17.29,23.38,17.11,6.93,0.28,60.48,24.53,61.94,0.74,180.11274390508322,361.31,823.27,,
2021-01-02 13:00:00,35.92,98.8,17.955302120384665,18.09,25.1,17.41,6.88,0.22,60.66,25.96,57.78,0.77,180.11274390508322,360.79,821.12,,
2021-01-02 14:00:00,36.96,93.56,17.955302120384665,18.1,22.97,16.41,6.97,0.28,69.28,27.11,53.18,0.74,180.11274390508322,374.84,826.08,,
2021-01-02 15:00:00,33.33,85.96,17.955302120384665,13.07,14.56,11.5,6.89,0.15,71.58,27.55,51.45,0.68,180.11274390508322,483.81,827.25,,
2021-01-02 16:00:00,27.3,71.94,17.955302120384665,18.53,24.5,16.63,6.79,0.25,67.69,27.29,54.16,0.75,180.11274390508322,383.33,829.67,,
2021-01-03 08:00:00,20.22,45.4,17.955302120384665,16.53,27.27,17.69,6.85,0.38,34.39,21.12,89.12,0.74,180.11274390508322,312.06,815.18,,
2021-01-03 09:00:00,19.99,50.69,17.955302120384665,14.03,22.42,14.62,6.96,0.29,45.49,22.19,81.75,0.71,180.11274390508322,383.38,817.1,,
2021-01-03 10:00:00,19.96,55.32,17.955302120384665,12.59,17.48,11.8,7.06,0.29,47.02,23.87,74.22,0.71,180.11274390508322,378.2,822.5,,
2021-01-03 11:00:00,21.42,52.54,17.955302120384665,12.2,15.88,10.9,6.88,0.26,51.25,25.21,68.09,0.69,180.11274390508322,430.58,825.65,,
2021-01-03 12:00:00,23.97,58.02,17.955302120384665,10.6,12.93,8.95,6.96,0.24,55.48,25.87,64.17,0.69,180.11274390508322,446.22,827.12,,
2021-01-03 13:00:00,26.32,50.48,17.955302120384665,10.67,13.22,9.18,6.81,0.26,53.45,26.35,62.06,0.66,180.11274390508322,445.15,828.95,,
2021-01-03 14:00:00,25.36,43.31,17.955302120384665,12.44,18.99,12.1,6.96,0.33,46.58,26.52,61.42,0.66,180.11274390508322,383.05,827.33,,
2021-01-03 15:00:00,22.29,49.29,17.955302120384665,13.43,17.51,12.03,7.08,0.32,42.77,26.17,64.15,0.67,180.11274390508322,376.51,828.42,,
2021-01-03 16:00:00,21.01,63.26,17.955302120384665,16.45,25.6,15.94,6.93,0.32,39.7,25.97,65.24,0.69,180.11274390508322,379.59,826.03,,
2021-01-04 08:00:00,9.16,30.01,17.955302120384665,17.03,23.78,15.48,6.76,0.44,24.43,21.43,92.2,0.65,180.11274390508322,394.05,811.7,,
2021-01-04 09:00:00,11.06,39.49,17.955302120384665,16.23,25.76,16.18,6.99,0.6,22.65,21.22,93.17,0.6,180.11274390508322,421.68,808.63,,
2021-01-04 10:00:00,10.79,37.31,17.955302120384665,18.81,31.52,20.01,6.75,0.6,26.34,21.62,90.76,0.73,180.11274390508322,337.89,815.05,,
2021-01-04 11:00:00,9.51,43.26,17.955302120384665,22.18,37.46,24.0,6.93,0.53,27.84,22.01,86.29,0.74,180.11274390508322,339.86,818.83,,
2021-01-04 12:00:00,12.07,38.81,17.955302120384665,23.17,41.49,25.79,6.86,0.55,25.96,22.36,83.21,0.67,180.11274390508322,334.69,818.9,,
2021-01-04 13:00:00,18.68,37.38,17.955302120384665,18.46,26.74,18.82,7.03,0.39,30.12,22.59,81.77,0.62,180.11274390508322,416.06,820.2,,
2021-01-04 14:00:00,21.14,49.87,17.955302120384665,18.77,29.11,18.69,6.72,0.43,30.18,22.96,79.42,0.63,180.11274390508322,373.23,821.35,,
2021-01-04 15:00:00,17.89,54.16,17.955302120384665,23.44,38.71,24.7,6.87,0.52,28.94,22.98,78.71,0.68,180.11274390508322,338.07,821.95,,
2021-01-04 16:00:00,15.91,48.21,17.955302120384665,23.06,36.73,23.33,6.87,0.43,30.54,22.79,79.57,0.7,180.11274390508322,332.92,821.47,,
2021-01-05 08:00:00,15.96,57.23,17.955302120384665,21.41,43.6,27.22,6.86,0.81,19.74,21.31,89.52,0.65,180.11274390508322,308.92,816.8,,
2021-01-05 09:00:00,17.22,78.25,17.955302120384665,21.84,38.61,25.73,6.75,0.72,27.67,23.11,80.47,0.7,180.11274390508322,329.17,820.4,,
2021-01-05 10:00:00,19.85,78.58,17.955302120384665,19.77,32.2,21.13,6.89,0.41,37.28,24.98,70.9,0.7,180.11274390508322,362.29,822.42,,
2021-01-05 11:00:00,20.09,70.48,17.955302120384665,17.52,27.73,18.21,6.96,0.3,41.12,26.12,65.63,0.71,180.11274390508322,367.1,821.83,,
2021-01-05 12:00:00,19.37,71.4,17.955302120384665,18.1,29.93,19.26,6.89,0.36,41.47,26.55,63.64,0.73,180.11274390508322,299.53,823.25,,
2021-01-05 13:00:00,19.84,60.3,17.955302120384665,17.23,26.79,17.88,6.99,0.34,44.72,27.46,60.04,0.68,180.11274390508322,352.04,824.45,,
2021-01-05 14:00:00,20.86,60.96,17.955302120384665,15.96,23.47,15.44,6.83,0.32,41.46,27.37,59.34,0.68,180.11274390508322,397.34,826.07,,
2021-01-05 15:00:00,19.96,72.64,17.955302120384665,19.15,31.71,20.28,7.0,0.36,40.6,27.59,58.97,0.68,180.11274390508322,341.34,828.52,,
2021-01-05 16:00:00,17.4,50.56,17.955302120384665,16.82,25.55,17.12,6.72,0.38,40.3,27.73,58.39,0.7,180.11274390508322,370.95,829.55,,
2021-01-06 08:00:00,11.54,46.49,17.955302120384665,21.13,42.64,26.0,7.06,0.89,18.23,22.55,84.98,0.66,180.11274390508322,286.05,822.67,,
2021-01-06 09:00:00,12.4,40.89,17.955302120384665,12.13,26.43,17.97,6.93,0.47,25.15,23.77,78.63,0.7,180.11274390508322,349.5,824.3,,
2021-01-06 10:00:00,10.36,43.85,17.955302120384665,12.96,24.12,15.29,6.78,0.23,31.44,24.84,73.26,0.69,180.11274390508322,389.2,826.58,,
2021-01-06 11:00:00,11.43,44.69,17.955302120384665,13.91,23.13,15.97,7.07,0.2,31.53,25.5,70.32,0.69,180.11274390508322,354.56,823.12,,
2021-01-06 12:00:00,14.49,56.4,17.955302120384665,14.6,24.67,16.8,6.99,0.16,34.98,26.4,65.49,0.65,180.11274390508322,401.73,823.45,,
2021-01-06 13:00:00,18.31,60.48,17.955302120384665,14.75,26.48,18.86,7.43,0.14,37.59,26.74,62.42,0.67,180.11274390508322,390.32,824.8,,
