From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-01-01 08:00:00,,0.79,,,,,7.07,0.94,106.05,27.454442202523524,89.45,0.5,197.38,79.2,839.92,,
2021-01-01 09:00:00,,0.73,,,,,7.0,0.86,134.75,27.454442202523524,75.84,0.59,208.92,160.63,839.65,,
2021-01-01 10:00:00,,0.7,2.35,12.94,14.91,,6.93,0.52,133.07,27.454442202523524,60.64,0.49,211.33,346.96,844.7,,
2021-01-01 11:00:00,,,2.59,22.27,24.38,0.1,6.88,0.37,133.85,27.454442202523524,53.68,0.31,201.52,213.41,842.97,,
2021-01-01 12:00:00,,,2.36,18.05,19.46,0.04,7.04,0.59,140.11,27.454442202523524,47.45,0.78,180.96,425.06,862.15,,
2021-01-01 13:00:00,,,2.71,16.77,18.23,0.16,6.96,0.69,135.53,27.454442202523524,45.27,0.68,191.04,420.57,895.73,,
2021-01-01 14:00:00,,,2.34,15.78,16.98,0.01,7.14,0.69,137.73,27.454442202523524,45.46,0.62,172.54,318.22,903.15,,
2021-01-01 15:00:00,,,2.38,19.84,21.36,0.18,6.88,0.64,131.58,27.454442202523524,46.59,0.5,212.33,208.27,874.38,,
2021-01-01 16:00:00,,,2.68,24.75,26.49,0.11,6.96,0.79,131.44,27.454442202523524,48.96,0.47,218.41,59.97,869.6,,
2021-01-02 08:00:00,,,2.3,18.74,15.7,,6.87,0.67,110.81,27.454442202523524,93.21,0.5,197.13,88.78,856.5,,
2021-01-02 09:00:00,,,3.13,27.77,27.23,0.33,7.08,0.53,98.39,27.454442202523524,84.71,0.38,209.85,179.07,865.25,,
2021-01-02 10:00:00,,,2.3,16.01,12.98,,6.98,0.66,114.19,27.454442202523524,70.01,0.48,173.2,271.0,864.0,,
2021-01-02 11:00:00,,,2.38,18.29,15.82,0.17,6.9,0.72,110.06,27.454442202523524,65.27,0.53,179.03,190.07,862.12,,
2021-01-02 12:00:00,,,2.3,13.98,10.71,0.05,7.09,0.95,124.3,27.454442202523524,61.43,0.81,173.09,321.99,866.75,,
2021-01-02 13:00:00,,,2.3,13.44,10.1,0.02,7.02,0.8,117.24,27.454442202523524,62.93,0.69,177.41,173.39,865.62,,
2021-01-02 14:00:00,,,2.3,15.07,11.74,0.04,7.07,0.9,110.53,27.454442202523524,69.69,0.6,189.59,86.34,852.9,,
2021-01-02 15:00:00,,,2.3,20.21,17.27,0.01,6.89,0.75,98.86,27.454442202523524,71.69,0.53,200.3,54.48,848.15,,
2021-01-02 16:00:00,,,2.3,23.21,20.69,0.01,7.1,0.59,95.2,27.454442202523524,74.45,0.43,207.75,51.43,838.05,,
