From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2021-01-01 08:00:00,,,6.5,13.4,12.42,32.65,17.33,1.02,42.58,25.98,56.25,0.6,208.25,98.5,739.0,0.0,18.65
2021-01-01 09:00:00,41.0,196.0,6.62,12.9,12.22,32.38,17.38,1.0,40.8,25.52,52.5,0.55,197.25,239.25,737.25,0.0,20.73
2021-01-01 10:00:00,37.0,174.25,6.53,11.13,11.22,31.38,17.38,0.78,47.92,25.12,48.25,0.43,161.5,253.25,735.5,0.0,23.12
2021-01-01 11:00:00,23.25,105.75,6.47,10.15,10.65,30.8,17.42,0.69,50.75,24.88,43.25,0.45,174.25,415.75,734.0,0.0,25.12
2021-01-01 12:00:00,19.75,102.25,6.55,9.88,10.55,30.58,17.5,0.61,51.25,24.73,41.25,0.5,178.5,432.0,733.0,0.0,26.23
2021-01-01 13:00:00,21.67,113.67,6.47,9.9,10.53,30.43,18.23,0.57,50.27,24.5,38.33,0.43,168.33,399.0,733.0,0.0,27.4
2021-01-01 14:00:00,16.25,98.25,6.32,9.55,10.2,30.4,17.9,0.51,49.8,24.4,37.75,0.43,167.5,328.75,733.0,0.0,27.88
2021-01-01 15:00:00,21.25,96.75,6.62,9.9,10.65,30.35,17.73,0.5,49.1,24.42,38.0,0.47,174.5,215.5,733.75,0.0,27.9
2021-01-01 16:00:00,23.25,100.5,6.8,9.88,10.75,30.32,17.98,0.5,48.4,24.5,38.25,0.45,168.0,86.25,734.5,0.0,27.47
2021-01-02 08:00:00,27.0,162.0,6.05,12.08,11.35,32.08,13.77,0.99,36.3,26.45,58.75,0.55,213.75,78.0,739.0,0.0,18.77
2021-01-02 09:00:00,40.0,213.0,6.53,12.3,11.82,32.12,18.17,1.03,5.77,25.8,56.75,0.6,222.75,146.75,737.75,0.0,20.03
2021-01-02 10:00:00,39.25,196.25,6.45,10.85,11.05,31.2,18.6,0.84,15.47,25.35,52.0,0.47,178.25,251.5,735.5,0.0,22.95
2021-01-02 11:00:00,35.0,141.25,6.53,10.18,10.7,30.73,18.55,0.64,28.77,24.92,44.75,0.57,202.0,366.75,733.5,0.0,25.68
2021-01-02 12:00:00,28.75,129.25,6.6,9.92,10.62,30.65,18.52,0.59,40.5,24.7,41.5,0.62,240.25,426.5,732.0,0.0,27.52
2021-01-02 13:00:00,25.75,131.25,6.43,9.82,10.4,30.4,17.65,0.61,45.57,24.5,40.0,0.55,201.5,370.0,732.5,0.0,28.05
2021-01-02 14:00:00,20.0,115.5,6.65,9.6,10.52,30.3,17.5,0.61,47.53,24.35,39.25,0.28,108.5,314.25,733.0,0.0,28.45
2021-01-02 15:00:00,21.75,108.75,6.6,9.32,10.33,30.28,17.23,0.68,48.15,24.32,39.0,0.38,144.25,208.5,733.25,0.0,28.52
2021-01-02 16:00:00,19.0,104.5,6.62,9.55,10.45,30.3,17.17,0.63,47.95,24.68,40.5,0.4,157.75,89.75,734.5,0.0,28.0
2021-01-03 08:00:00,37.0,184.0,6.6,11.45,11.48,31.62,17.82,0.84,45.6,25.6,59.75,0.4,154.0,126.25,739.25,0.0,18.05
2021-01-03 09:00:00,44.75,227.75,6.57,10.57,10.98,31.25,17.8,0.8,48.5,25.35,57.0,0.43,165.75,243.5,737.25,0.0,20.32
2021-01-03 10:00:00,33.25,162.75,6.45,10.2,10.68,31.02,18.05,0.71,51.62,25.1,50.0,0.53,200.0,257.75,735.25,0.0,23.6
2021-01-03 11:00:00,34.0,159.75,6.47,9.72,10.45,30.75,17.95,0.69,54.23,24.9,47.0,0.65,245.5,415.25,733.75,0.0,25.48
2021-01-03 12:00:00,25.25,132.0,6.5,9.65,10.4,30.5,18.1,0.62,55.15,24.73,41.5,0.7,255.0,452.5,732.25,0.0,27.43
2021-01-03 13:00:00,25.5,120.0,6.75,9.35,10.42,30.35,17.43,0.6,55.38,24.5,39.5,0.67,253.25,393.25,732.0,0.0,28.38
2021-01-03 14:00:00,22.5,109.5,6.68,9.23,10.35,30.25,17.5,0.58,55.15,24.4,37.75,0.62,240.75,323.5,732.0,0.0,29.1
2021-01-03 15:00:00,18.0,99.0,6.58,9.47,10.35,30.15,17.4,0.56,54.12,24.52,36.0,0.57,215.25,236.75,732.5,0.0,29.25
2021-01-03 16:00:00,18.5,83.0,6.55,9.4,10.3,30.18,17.38,0.49,52.5,24.8,37.75,0.6,220.0,102.0,734.25,0.0,28.6
2021-01-04 08:00:00,35.0,209.5,6.38,10.03,10.55,31.25,17.9,1.06,24.08,25.67,61.5,0.6,217.5,109.5,738.25,0.0,19.93
2021-01-04 09:00:00,26.25,148.75,6.78,10.18,10.95,31.08,18.1,0.92,25.73,25.58,55.75,0.47,181.5,208.25,736.25,0.0,22.25
2021-01-04 10:00:00,27.0,149.75,6.72,10.03,10.8,30.95,17.95,0.83,26.35,25.43,51.75,0.55,200.0,241.25,735.25,0.0,23.8
2021-01-04 11:00:00,26.0,146.75,6.7,10.03,10.77,30.85,17.9,0.84,30.73,25.15,47.0,0.65,241.25,398.75,733.0,0.0,25.75
2021-01-04 12:00:00,23.0,143.0,6.72,9.7,10.62,30.75,18.2,0.72,34.23,24.93,44.25,0.5,193.5,378.0,732.75,0.0,27.27
2021-01-04 13:00:00,22.25,118.0,6.73,9.68,10.57,30.73,18.08,0.64,35.35,24.9,42.25,0.5,187.5,363.5,732.5,0.0,28.08
2021-01-04 14:00:00,17.0,98.0,6.72,9.58,10.55,30.62,17.22,0.59,35.8,24.7,40.0,0.47,178.75,321.75,732.75,0.0,28.72
2021-01-04 15:00:00,11.67,100.0,6.7,9.53,10.5,30.57,17.5,0.63,35.8,24.87,40.67,0.37,135.33,199.0,733.0,0.0,28.93
2021-01-04 16:00:00,18.0,100.0,6.7,9.87,10.67,30.6,17.6,0.67,35.63,25.33,39.33,0.4,145.67,75.33,734.33,0.0,28.43
2021-01-05 08:00:00,39.0,329.75,6.42,12.45,11.8,32.05,18.15,0.96,32.23,25.58,58.0,0.3,117.75,124.5,738.25,0.0,20.18
2021-01-05 09:00:00,35.5,302.5,6.47,11.4,11.28,31.77,18.0,1.22,16.15,25.4,53.0,0.43,155.75,236.5,736.5,0.0,22.1
2021-01-05 10:00:00,27.0,181.75,6.55,10.72,11.03,31.15,18.0,1.15,24.4,25.15,45.75,0.5,182.0,242.0,734.5,0.0,25.3
2021-01-05 11:00:00,30.25,176.5,6.83,10.43,11.07,31.02,18.2,0.82,23.65,25.3,43.0,0.67,251.75,397.75,733.0,0.0,26.93
2021-01-05 12:00:00,22.5,120.75,6.6,10.3,10.85,31.12,18.73,0.38,10.17,26.93,39.75,0.55,211.5,425.25,732.0,0.0,28.27
2021-01-05 13:00:00,22.33,99.67,6.6,10.37,10.87,31.2,19.37,0.43,11.33,27.27,37.67,0.43,161.33,393.0,732.0,0.0,29.03
2021-01-05 14:00:00,20.25,96.5,6.72,10.35,10.95,30.78,17.6,0.48,21.77,25.23,37.0,0.55,204.25,320.25,731.75,0.0,29.93
2021-01-05 15:00:00,24.0,101.0,6.87,9.83,10.8,30.8,17.83,0.57,27.7,25.23,37.0,0.53,199.67,238.0,733.0,0.0,29.37
2021-01-05 16:00:00,18.33,93.33,6.73,9.83,10.7,31.2,17.97,0.54,30.7,25.33,38.0,0.43,164.0,70.67,734.33,0.0,28.83
2021-01-06 08:00:00,44.0,240.75,6.73,11.62,11.65,32.43,18.85,0.97,32.53,25.65,59.75,0.5,171.0,58.75,738.0,0.0,20.48
2021-01-06 09:00:00,47.0,274.0,6.62,11.57,11.53,32.23,18.6,2.15,33.52,25.52,55.5,0.5,171.0,108.0,736.5,0.0,22.38
2021-01-06 10:00:00,32.5,190.0,6.88,10.85,11.35,31.92,18.8,2.19,34.8,25.35,51.25,0.5,173.75,209.25,734.75,0.0,24.35
2021-01-06 11:00:00,16.25,118.25,6.65,10.55,11.0,31.62,18.5,1.89,36.05,25.23,44.75,0.47,170.5,283.0,733.5,0.0,26.6
2021-01-06 12:00:00,15.25,112.75,6.88,10.35,11.1,31.32,18.75,1.54,35.02,25.08,41.75,0.27,114.0,362.0,732.0,0.0,28.23
2021-01-06 13:00:00,12.33,91.33,6.9,10.07,10.97,31.07,17.93,1.37,29.6,25.1,40.67,0.33,133.33,287.67,732.33,0.0,29.1
2021-01-06 14:00:00,17.0,85.5,6.83,9.97,10.85,30.87,17.38,1.19,33.15,25.12,40.5,0.6,225.5,271.0,732.25,0.0,29.2
2021-01-06 15:00:00,16.0,83.75,6.95,9.8,10.85,30.82,17.6,0.96,34.7,25.55,41.25,0.6,222.25,108.5,733.75,0.0,28.75
2021-01-06 16:00:00,12.0,82.75,6.7,9.82,10.68,30.85,17.57,0.79,35.0,25.85,42.25,0.58,208.5,88.75,734.25,0.0,28.4
2021-01-07 08:00:00,20.33,152.33,6.7,10.57,11.07,31.47,17.83,0.86,35.0,25.47,56.67,0.53,205.33,84.0,736.67,0.0,22.93
