From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2021-01-01 08:00:00,312.92,358.57,38.5,75.65,70.42,95.22,5.32,1.19,5.5,27.454442202523524,79.56,0.42,180.11274390508322,,982.7,0.0,22.93
2021-01-01 09:00:00,230.13,265.69,28.8,73.87,61.68,86.12,9.5,1.1,6.5,27.454442202523524,72.5,0.47,180.11274390508322,,982.7,0.0,24.56
2021-01-01 10:00:00,182.94,216.53,25.64,73.88,59.1,81.1,9.86,0.92,6.75,27.454442202523524,65.3,0.4,180.11274390508322,,982.75,0.0,26.55
2021-01-01 11:00:00,206.8,248.26,21.79,78.15,58.37,81.04,8.05,0.85,12.5,27.454442202523524,58.58,0.31,180.11274390508322,,982.8,0.0,28.76
2021-01-01 12:00:00,208.84,251.1,6.24,63.49,38.11,61.3,4.17,0.79,25.5,27.454442202523524,52.4,0.26,180.11274390508322,,982.85,0.0,30.4
2021-01-01 13:00:00,151.47,186.34,1.9,54.52,30.05,52.51,2.17,0.62,43.25,27.454442202523524,55.14,0.45,180.11274390508322,,980.23,0.0,30.23
2021-01-01 14:00:00,197.0,237.07,2.06,53.4,29.61,52.97,2.5,0.46,51.25,27.454442202523524,59.33,0.86,180.11274390508322,,983.2,0.0,28.97
2021-01-01 15:00:00,145.51,178.09,0.72,54.13,28.7,55.06,5.31,0.33,66.25,27.454442202523524,65.41,0.59,180.11274390508322,,957.38,0.0,27.56
2021-01-01 16:00:00,120.06,149.51,3.39,54.5,31.18,60.51,4.16,0.33,46.25,27.454442202523524,71.61,0.76,180.11274390508322,,953.2,0.0,26.7
2021-01-02 08:00:00,206.56,240.47,7.91,26.45,34.36,61.6,3.02,0.42,6.0,27.454442202523524,94.35,0.4,180.11274390508322,,982.8,0.0,22.7
2021-01-02 09:00:00,157.93,190.07,8.29,30.27,38.51,63.65,3.43,0.41,5.5,27.454442202523524,85.44,0.29,180.11274390508322,,982.8,0.0,24.65
2021-01-02 10:00:00,143.44,274.46,8.81,30.97,39.78,63.44,2.38,0.34,5.5,27.454442202523524,80.78,0.37,180.11274390508322,,982.8,0.0,25.91
2021-01-02 11:00:00,191.28,358.83,3.17,29.26,32.16,57.0,2.4,0.28,7.5,27.454442202523524,79.08,0.38,180.11274390508322,,982.8,0.0,26.33
2021-01-02 12:00:00,100.56,180.4,1.14,26.85,27.66,52.49,5.08,0.26,12.25,27.454442202523524,77.89,0.81,180.11274390508322,,980.42,0.0,25.76
2021-01-02 13:00:00,114.73,211.34,0.6,25.14,25.52,47.48,3.79,0.11,16.25,27.454442202523524,78.18,0.69,180.11274390508322,,981.77,0.0,26.06
2021-01-02 14:00:00,112.89,197.16,1.69,22.46,24.1,45.06,3.3,0.16,23.25,27.454442202523524,78.63,0.72,180.11274390508322,,953.2,0.0,25.68
2021-01-02 15:00:00,84.95,148.16,3.49,26.57,30.01,50.02,3.91,0.34,14.25,27.454442202523524,76.6,0.57,180.11274390508322,,953.2,0.0,25.42
2021-01-02 16:00:00,125.81,221.81,6.61,35.39,42.0,63.0,2.14,0.45,14.25,27.454442202523524,80.39,1.6,180.11274390508322,,953.2,0.0,24.22
2021-01-03 08:00:00,131.26,233.77,27.5,29.38,51.39,75.16,2.78,0.8,9.0,27.454442202523524,88.46,0.27,180.11274390508322,,982.7,0.0,21.37
2021-01-03 09:00:00,133.31,242.72,16.04,33.09,45.93,68.95,6.33,0.85,9.0,27.454442202523524,78.34,0.28,180.11274390508322,,982.7,0.0,23.51
2021-01-03 10:00:00,129.85,235.25,7.05,31.34,36.99,60.33,3.48,0.79,12.75,27.454442202523524,74.85,0.35,180.11274390508322,,982.82,0.0,24.59
2021-01-03 11:00:00,129.4,231.85,0.86,27.45,28.08,50.97,2.71,0.61,19.0,27.454442202523524,76.54,0.73,180.11274390508322,,980.0,0.0,24.24
2021-01-03 12:00:00,131.65,234.28,2.0,26.01,27.54,50.15,6.97,0.56,24.75,27.454442202523524,70.74,0.93,180.11274390508322,,976.88,0.0,24.19
2021-01-03 13:00:00,138.06,243.52,2.11,28.14,29.83,51.52,7.56,0.49,33.75,27.454442202523524,66.64,0.61,180.11274390508322,,953.2,0.0,24.45
2021-01-03 14:00:00,84.9,151.29,2.48,27.77,29.76,50.79,8.17,0.44,42.25,27.454442202523524,65.38,0.52,180.11274390508322,,953.2,0.0,25.06
2021-01-03 15:00:00,94.52,170.6,1.27,30.02,24.9,46.85,4.83,0.39,57.67,27.454442202523524,67.45,0.68,180.11274390508322,,953.2,0.0,24.76
2021-01-03 16:00:00,69.3,133.35,4.86,30.55,34.44,56.55,1.21,0.42,24.5,27.454442202523524,68.39,0.94,180.11274390508322,,953.2,0.0,24.12
2021-01-04 08:00:00,155.15,298.52,30.33,33.64,63.97,87.0,3.17,0.64,4.5,27.454442202523524,81.53,0.36,180.11274390508322,,982.7,0.0,21.34
2021-01-04 09:00:00,104.91,203.96,17.36,35.93,53.29,76.5,1.68,0.68,4.5,27.454442202523524,77.69,0.31,180.11274390508322,,982.7,0.0,22.14
2021-01-04 10:00:00,110.39,218.71,8.34,35.04,43.38,67.25,0.28,0.68,5.0,27.454442202523524,72.01,0.4,180.11274390508322,,982.75,0.0,23.67
2021-01-04 11:00:00,99.57,198.98,3.13,34.01,37.14,60.75,0.18,0.59,5.75,27.454442202523524,71.12,0.71,180.11274390508322,,979.97,0.0,23.61
2021-01-04 12:00:00,95.22,189.25,2.98,34.0,36.55,59.5,1.82,0.56,9.0,27.454442202523524,64.2,0.62,180.11274390508322,,983.2,0.0,24.63
2021-01-04 13:00:00,126.67,247.77,4.73,37.74,42.48,66.5,2.33,0.47,9.5,27.454442202523524,62.19,0.39,180.11274390508322,,956.03,0.0,24.89
2021-01-04 14:00:00,157.9,293.0,10.34,47.0,57.34,87.25,10.46,0.74,10.0,27.454442202523524,62.08,0.39,180.11274390508322,,957.4,0.0,25.0
2021-01-04 15:00:00,97.35,180.94,6.75,48.59,55.27,88.0,3.86,0.99,12.5,27.454442202523524,57.94,0.43,180.11274390508322,,953.2,0.0,25.91
2021-01-04 16:00:00,76.07,152.62,5.71,39.84,45.55,72.75,,0.87,10.5,27.454442202523524,64.16,0.3,180.11274390508322,,953.2,0.0,25.43
2021-01-05 08:00:00,126.94,241.19,14.9,43.2,58.1,79.5,1.49,0.31,3.0,27.454442202523524,68.59,0.37,180.11274390508322,,982.8,0.0,21.55
2021-01-05 09:00:00,89.45,173.7,12.54,48.81,61.35,84.0,1.85,0.48,2.0,27.454442202523524,66.05,0.54,180.11274390508322,,982.8,0.0,22.45
2021-01-05 10:00:00,105.04,205.36,14.12,53.59,67.71,90.5,0.79,0.64,2.0,27.454442202523524,63.01,0.28,180.11274390508322,,982.8,0.0,23.87
2021-01-05 11:00:00,120.96,240.03,9.13,51.29,60.36,84.0,0.33,0.68,2.25,27.454442202523524,63.31,0.31,180.11274390508322,,982.8,0.0,25.09
2021-01-05 12:00:00,115.08,224.98,1.23,42.08,42.92,66.5,2.3,0.6,2.5,27.454442202523524,69.51,0.83,180.11274390508322,,980.3,0.0,24.84
2021-01-05 13:00:00,95.24,190.43,2.92,35.3,38.15,60.0,1.46,0.52,2.5,27.454442202523524,67.07,0.58,180.11274390508322,,982.12,0.0,24.79
