file_name,station_location,latitude,longitude,west_lon,east_lon,south_lat,north_lat
HR001,"Sector 16A, Faridabad",28.40525,77.31856,77.30856,77.32856,28.39525,28.41525
HR002,"Vikas Sadan, Gurugram",28.4606,77.0261,77.0161,77.0361,28.4506,28.4706
HR003,"Sector 6, Panchkula",29.95,76.85,76.75,76.95,29.85,30
HR004,"MD University, Rohtak",28.8955,76.5942,76.5842,76.6042,28.8855,28.9055
HR009,"Police Lines, Jind",29.3092,76.3168,76.3068,76.3268,29.2992,29.3192
